ID,"LICENSE ID","ACCOUNT NUMBER","SITE NUMBER","LEGAL NAME","DOING BUSINESS AS NAME",ADDRESS,CITY,STATE,"ZIP CODE",WARD,PRECINCT,"WARD PRECINCT","POLICE DISTRICT","LICENSE CODE","LICENSE DESCRIPTION","BUSINESS ACTIVITY ID","BUSINESS ACTIVITY","LICENSE NUMBER","APPLICATION TYPE","APPLICATION CREATED DATE","APPLICATION REQUIREMENTS COMPLETE","PAYMENT DATE","CONDITIONAL APPROVAL","LICENSE TERM START DATE","LICENSE TERM EXPIRATION DATE","LICENSE APPROVED FOR ISSUANCE","DATE ISSUED","LICENSE STATUS","LICENSE STATUS CHANGE DATE",SSA,LATITUDE,LONGITUDE,LOCATION,DI_CreateDate,DI_WorkflowFileName,APPLICATION_CREATED_DATE_CONVERTED,PAYMENT_DATE_CONVERTED,"LICENSE_TERM_START DATE_CONVERTED","LICENSE TERM EXPIRATION DATE CONVERTED","DATE ISSUED CONVERTED","LICENSE STATUS CHANGE DATE CONVERTED"
16570-20000216,76522,51755,1,"THORNDALE CONSTRUCTION","THORNDALE CONSTRUCTION","11243  CHESAPEAKE PLAC   1ST",WESTCHESTER,IL,60154,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,16570,RENEW,NULL,06/16/2000,08/21/2009,N,02/16/2000,02/15/2001,12/22/2003,08/24/2009,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2009-08-21 00:00:00","2000-02-16 00:00:00","2001-02-15 00:00:00","2009-08-24 00:00:00",NULL
25710-19960216,119268,52896,1,"PAT HAMILTON, INC","PAT HAMILTON CO.","17021 S MAGNOLIA DR  1ST","HAZEL CREST",IL,60429,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,25710,ISSUE,NULL,06/20/2000,NULL,N,02/16/1996,02/15/1997,12/22/2003,04/12/2006,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,NULL,"1996-02-16 00:00:00","1997-02-15 00:00:00","2006-04-12 00:00:00",NULL
2712733-20210816,2796409,461483,3,"J & H DESIGNS INC.","DCI Furniture","2729 W DEVON AVE",CHICAGO,IL,60659,50,NULL,50-,NULL,1010,"Limited Business License",764,"Retail Sales of Carpet and/or Furniture",2712733,RENEW,NULL,06/15/2021,05/11/2022,N,08/16/2021,08/15/2023,05/11/2022,05/11/2022,AAI,NULL,43,41.997471914,-87.698364983,"(41.99747191369513, -87.6983649831795)","2022-10-06 12:53:44",test,NULL,"2022-05-11 00:00:00","2021-08-16 00:00:00","2023-08-15 00:00:00","2022-05-11 00:00:00",NULL
53383-20150316,2375632,38691,1,"MEE INC","MEE INC","11845 W LARAWAY RD  1",FRANKFORT,IL,60423,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,53383,RENEW,NULL,01/16/2015,03/12/2015,N,03/16/2015,03/15/2017,03/12/2015,03/13/2015,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2015-03-12 00:00:00","2015-03-16 00:00:00","2017-03-15 00:00:00","2015-03-13 00:00:00",NULL
1847540-20090116,1940503,89020,45,"FEDEX OFFICE AND PRINT SERVICES, INC.","FEDEX OFFICE AND PRINT SVCS, INC.","2301 S DR MARTIN LUTHER KING JR DR  SOUTH BL",CHICAGO,IL,60616,4,3,4-3,1,1010,"Limited Business License",NULL,NULL,1847540,RENEW,NULL,11/14/2008,01/08/2009,N,01/16/2009,01/15/2011,01/08/2009,01/22/2009,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2009-01-08 00:00:00","2009-01-16 00:00:00","2011-01-15 00:00:00","2009-01-22 00:00:00",NULL
50776-20040216,1458339,56730,1,"FREDERICK MCGEE","MCGEE'S REMODELING","1009 S 11TH AVE  1",MAYWOOD,IL,60153,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,50776,RENEW,NULL,12/15/2003,02/26/2004,N,02/16/2004,02/15/2005,12/22/2003,11/24/2008,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2004-02-26 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2008-11-24 00:00:00",NULL
63024-19990216,275807,19866,1,"SWISTUN, INC.","SWISTUN ALUMINUM INC","65 E PALATINE RD  117","PROSPECT HEIGHTS",IL,60070,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,63024,RENEW,NULL,NULL,02/28/2008,N,02/16/1999,02/15/2000,12/22/2003,02/28/2008,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2008-02-28 00:00:00","1999-02-16 00:00:00","2000-02-15 00:00:00","2008-02-28 00:00:00",NULL
67045-19990516,286129,59758,1,"LAURENCE DUREKE",LA'VERA,"12440 S ASHLAND AVE  1ST","CALUMET PARK",IL,60643,NULL,NULL,NULL,NULL,1315,"Mobile Food Dispenser",NULL,NULL,67045,RENEW,NULL,12/22/2003,NULL,N,05/16/1999,02/15/2000,03/23/2001,11/29/2012,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,NULL,"1999-05-16 00:00:00","2000-02-15 00:00:00","2012-11-29 00:00:00",NULL
1927-20220916,2858237,62544,3,"HYATT CORPORATION","CRYSTAL BALLROOM/PLAZA BALLROOM","151 E WACKER DR  PLAZA",CHICAGO,IL,60601,42,44,42-44,1,1477,"Outdoor Patio",784,"Sale of Liquor Outdoors on Private Property",1927,RENEW,NULL,07/15/2022,08/05/2022,N,09/16/2022,09/15/2024,08/05/2022,08/08/2022,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2022-08-05 00:00:00","2022-09-16 00:00:00","2024-09-15 00:00:00","2022-08-08 00:00:00",NULL
39535-20060216,1660219,54914,1,"RILEY HEATING & COOLING","RILEY HEATING & COOLING","16 N 9 TH AVE  1ST","MELROSE PARK",IL,60160,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,39535,RENEW,NULL,12/21/2005,01/27/2006,N,02/16/2006,02/15/2007,NULL,02/22/2007,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2006-01-27 00:00:00","2006-02-16 00:00:00","2007-02-15 00:00:00","2007-02-22 00:00:00",NULL
