"Inspection ID","DBA Name","AKA Name","License #","Facility Type",Risk,Address,City,State,Zip,"Inspection Date","Inspection Type",Results,Violations,Latitude,Longitude,Location,DI_CreateDate,DI_WorkflowFileName,INSPECTION_DATE_CONVERTED
2561879,SOLITA,SOLITA,2857386,Restaurant,"Risk 3 (Low)","431 N WELLS ST",CHICAGO,IL,60654,08/09/2022,License,Pass,NULL,41.89002468212031,-87.63388240330882,"(-87.63388240330882, 41.89002468212031)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-08-09 00:00:00"
2559417,"CHEZ JOEL","CHEZ JOEL",32359,Restaurant,"Risk 1 (High)","1119 W TAYLOR ST",CHICAGO,IL,60607,06/15/2022,Non-Inspection,"No Entry",NULL,41.86933227916697,-87.65510678669794,"(-87.65510678669794, 41.86933227916697)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-06-15 00:00:00"
2559999,"ROJO GUSANO","ROJO GUSANO",1305286,Restaurant,"Risk 1 (High)","3830 W LAWRENCE AVE",CHICAGO,IL,60625,06/28/2022,Canvass,"Out of Business",NULL,41.968390431264375,-87.72444785924317,"(-87.72444785924317, 41.968390431264375)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-06-28 00:00:00"
2554552,"HOST INTERNATIONAL B05","LA TAPENADE  (T1-B5)",34203,Restaurant,"Risk 1 (High)","11601 W TOUHY AVE",CHICAGO,IL,60666,04/20/2022,Canvass,Pass,NULL,42.008536400868735,-87.91442843927047,"(-87.91442843927047, 42.008536400868735)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-04-20 00:00:00"
2553925,"LITTLE HARVARD ACADEMY","LITTLE HARVARD ACADEMY",2215573,"Daycare (2 - 6 Years)","Risk 1 (High)","2708 W PETERSON AVE",CHICAGO,IL,60659,04/05/2022,Canvass,"Out of Business",NULL,41.99056361928264,-87.69736479750581,"(-87.69736479750581, 41.99056361928264)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-04-05 00:00:00"
2537519,JOLLIBEE,JOLLIBEE,2785819,Restaurant,"Risk 1 (High)","116 S MICHIGAN AVE",CHICAGO,IL,60603,10/29/2021,License,Pass,NULL,41.88039583825962,-87.62450172159464,"(-87.62450172159464, 41.88039583825962)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2021-10-29 00:00:00"
2550018,SUBWAY,SUBWAY,1488966,Restaurant,"Risk 1 (High)","3601 N WESTERN AVE",CHICAGO,IL,60618,02/18/2022,Canvass,"Out of Business",NULL,41.94682340031816,-87.688112633821,"(-87.688112633821, 41.94682340031816)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-02-18 00:00:00"
2560742,"LARDON & THE UNION TAPROOM & THE MEADOWLARK","LARDON & THE UNION TAPROOM & THE MEADOWLARK",2712521,Restaurant,"Risk 1 (High)","2200-2202 N CALIFORNIA AVE",CHICAGO,IL,60647,07/14/2022,Canvass,Pass,NULL,41.921723514279485,-87.69746847935866,"(-87.69746847935866, 41.921723514279485)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-07-14 00:00:00"
2560536,"CHARTWELLS THOMPSON HOSPITALITY","ROWE-CLARK MATH & SCIENCE ACADEMY",2202622,School,"Risk 1 (High)","3645 W CHICAGO AVE",CHICAGO,IL,60651,07/11/2022,Canvass,"Out of Business",NULL,41.89533477965775,-87.71805030259755,"(-87.71805030259755, 41.89533477965775)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-07-11 00:00:00"
2560421,"AMARIT RESTAURANT","AMARIT RESTAURANT",1801618,Restaurant,"Risk 1 (High)","600 S DEARBORN ST",CHICAGO,IL,60605,07/07/2022,"Canvass Re-Inspection",Pass,NULL,41.87448116568133,-87.62935653990546,"(-87.62935653990546, 41.87448116568133)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-07-07 00:00:00"
2561691,"ALDI INC #64",ALDI,13976,"Grocery Store","Risk 3 (Low)","1753 N MILWAUKEE AVE",CHICAGO,IL,60647,08/04/2022,"Complaint Re-Inspection",Pass,NULL,41.91334246823248,-87.68182248081257,"(-87.68182248081257, 41.91334246823248)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-08-04 00:00:00"
2559976,"EL RAYO TACOS INC","EL RAYO TACOS",2665045,"Mobile Food Preparer","Risk 2 (Medium)","2300 S THROOP ST",CHICAGO,IL,60608,06/28/2022,"Complaint Re-Inspection",Pass,NULL,41.85045102427,-87.65879785567869,"(-87.65879785567869, 41.85045102427)","2022-10-06 12:53:44",FinaL_Chicago_Workflow.yxmd,"2022-06-28 00:00:00"
